Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74543314e+00,7.60450394e-01,9.10928523e-01,1.23159496e+00
2.00500000e+00,-1.74186450e+00,7.66831645e-01,9.09226236e-01,1.66415417e+00
2.01000000e+00,-1.73791631e+00,8.15698374e-01,9.05339556e-01,9.81788222e+00
2.01500000e+00,-1.73432551e+00,7.95153129e-01,9.05640182e-01,1.82215766e+00
2.02000000e+00,-1.73055763e+00,7.98341645e-01,9.03716067e-01,2.30016257e+00
2.02500000e+00,-1.72677544e+00,8.14117000e-01,9.02249098e-01,1.45071360e+00
2.03000000e+00,-1.72270737e+00,8.30865984e-01,8.99681022e-01,3.55181907e+00
2.03500000e+00,-1.71824937e+00,9.33963401e-01,8.92586237e-01,2.26530359e+01
2.04000000e+00,-1.71491540e+00,8.37123731e-01,8.96452997e-01,1.42371307e+00
2.04500000e+00,-1.71082411e+00,8.44163421e-01,8.94632499e-01,9.71136537e-01
2.05000000e+00,-1.70478755e+00,1.18994942e+00,8.72863818e-01,7.12272997e+01
2.05500000e+00,-1.70103893e+00,1.10312152e+00,8.75056473e-01,5.87761669e+01
2.06000000e+00,-1.69824365e+00,8.79613194e-01,8.88059835e-01,1.43520645e+00
2.06500000e+00,-1.69394991e+00,9.13816150e-01,8.85436801e-01,3.19128631e+00
2.07000000e+00,-1.68957946e+00,9.12521737e-01,8.83259638e-01,2.50692666e+00
2.07500000e+00,-1.68515731e+00,9.31466104e-01,8.80779309e-01,3.18570357e+00
2.08000000e+00,-1.68062375e+00,9.49990464e-01,8.78502419e-01,2.63234218e+00
2.08500000e+00,-1.67608851e+00,9.40452889e-01,8.76364054e-01,1.29186926e+00
2.09000000e+00,-1.67077239e+00,1.06629452e+00,8.67536134e-01,2.30222895e+01
2.09500000e+00,-1.66671326e+00,1.00239251e+00,8.69922387e-01,6.12361866e+00
2.10000000e+00,-1.66189636e+00,9.95178620e-01,8.67805252e-01,3.43129987e+00
2.10500000e+00,-1.65714985e+00,1.01547869e+00,8.65323258e-01,2.98668418e+00
2.11000000e+00,-1.65209129e+00,1.04403697e+00,8.61072905e-01,7.50839667e+00
2.11500000e+00,-1.64612375e+00,1.21861991e+00,8.49046257e-01,3.66543974e+01
2.12000000e+00,-1.64213376e+00,1.05419862e+00,8.56128080e-01,3.20970138e+00
2.12500000e+00,-1.63688047e+00,1.07888478e+00,8.52863268e-01,3.77807915e+00
2.13000000e+00,-1.63153957e+00,1.10106832e+00,8.48984148e-01,4.93571860e+00
2.13500000e+00,-1.62643359e+00,1.10825640e+00,8.46634216e-01,2.24424502e+00
2.14000000e+00,-1.62062281e+00,1.12605999e+00,8.42723332e-01,2.63770391e+00
