Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74594666e+00,7.38544024e-01,9.11267664e-01,5.44564922e-01
2.00100000e+00,-1.74443355e+00,7.65416386e-01,9.09320638e-01,1.40998324e+00
2.00200000e+00,-1.74360522e+00,7.61695749e-01,9.09295224e-01,1.23489379e+00
2.00300000e+00,-1.74323177e+00,7.43951407e-01,9.09924949e-01,4.96736092e-01
2.00400000e+00,-1.74202033e+00,7.80727204e-01,9.07686599e-01,1.78598299e+00
2.00500000e+00,-1.74194662e+00,7.36271846e-01,9.09727117e-01,4.24527035e-01
2.00600000e+00,-1.74108885e+00,7.52887384e-01,9.08930356e-01,4.92707854e-01
2.00700000e+00,-1.74053403e+00,7.57696770e-01,9.08654997e-01,6.03571232e-01
2.00800000e+00,-1.73929661e+00,7.52090901e-01,9.08181390e-01,5.14246240e-01
2.00900000e+00,-1.73942455e+00,7.56207264e-01,9.08053318e-01,7.11720067e-01
2.01000000e+00,-1.73784286e+00,7.80301652e-01,9.06692145e-01,1.12814998e+00
2.01100000e+00,-1.73705569e+00,7.64855832e-01,9.07079933e-01,6.26741460e-01
2.01200000e+00,-1.73583686e+00,8.06810485e-01,9.03685573e-01,2.54675449e+00
2.01300000e+00,-1.73516560e+00,8.00514817e-01,9.04530573e-01,1.75632803e+00
2.01400000e+00,-1.73515108e+00,7.69900098e-01,9.06276779e-01,6.34590266e-01
2.01500000e+00,-1.73405449e+00,7.81934841e-01,9.05207263e-01,8.69309834e-01
2.01600000e+00,-1.73392453e+00,7.74614248e-01,9.05833138e-01,5.41460986e-01
2.01700000e+00,-1.73249606e+00,7.71070491e-01,9.05049305e-01,5.42684560e-01
2.01800000e+00,-1.73183031e+00,8.23466880e-01,9.01838395e-01,2.59102070e+00
2.01900000e+00,-1.73147186e+00,7.72456779e-01,9.04792140e-01,5.27312882e-01
2.02000000e+00,-1.73036238e+00,7.89708100e-01,9.04102086e-01,6.69314591e-01
2.02100000e+00,-1.72969561e+00,7.77312537e-01,9.03534297e-01,6.21981977e-01
2.02200000e+00,-1.72799153e+00,8.34726513e-01,9.00246271e-01,2.39601908e+00
2.02300000e+00,-1.72805888e+00,8.06731670e-01,9.01725324e-01,1.57354245e+00
2.02400000e+00,-1.72712188e+00,7.96552478e-01,9.01934264e-01,8.30802559e-01
2.02500000e+00,-1.72671983e+00,7.96002599e-01,9.02186421e-01,7.51514419e-01
2.02600000e+00,-1.72586906e+00,7.81391338e-01,9.02131909e-01,5.02572241e-01
2.02700000e+00,-1.72560000e+00,7.84227253e-01,9.01770158e-01,5.84230060e-01
2.02800000e+00,-1.72445208e+00,7.97307296e-01,9.01276155e-01,6.66624149e-01
2.02900000e+00,-1.72357112e+00,7.98465420e-01,9.00952163e-01,6.13382677e-01
2.03000000e+00,-1.72229323e+00,8.20125370e-01,8.98749142e-01,1.45198978e+00
2.03100000e+00,-1.72168905e+00,8.02618533e-01,9.00053827e-01,5.36268135e-01
2.03200000e+00,-1.72142810e+00,7.99571990e-01,8.99997600e-01,6.31216251e-01
2.03300000e+00,-1.71988186e+00,8.15168728e-01,8.98706623e-01,6.43544990e-01
2.03400000e+00,-1.71840985e+00,9.02175698e-01,8.92891497e-01,4.27285634e+00
2.03500000e+00,-1.71873225e+00,8.00101114e-01,8.98575167e-01,6.06575360e-01
2.03600000e+00,-1.71845259e+00,8.11058445e-01,8.97965576e-01,1.04065384e+00
2.03700000e+00,-1.71744837e+00,8.12216998e-01,8.98086772e-01,6.59517236e-01
2.03800000e+00,-1.71656048e+00,8.15869639e-01,8.97680444e-01,6.07659589e-01
2.03900000e+00,-1.71577396e+00,8.09637711e-01,8.97164803e-01,5.98971138e-01
2.04000000e+00,-1.71445531e+00,8.27784459e-01,8.96264786e-01,7.01608960e-01
2.04100000e+00,-1.71408145e+00,8.28754721e-01,8.95642441e-01,1.14506485e+00
2.04200000e+00,-1.71266642e+00,8.39398016e-01,8.95008092e-01,8.08338830e-01
2.04300000e+00,-1.71230090e+00,8.38100133e-01,8.95086595e-01,7.56439400e-01
2.04400000e+00,-1.71076579e+00,8.62156870e-01,8.91654865e-01,2.71785908e+00
2.04500000e+00,-1.71132003e+00,8.22583242e-01,8.95053621e-01,6.85690397e-01
2.04600000e+00,-1.70998375e+00,8.44625837e-01,8.93738150e-01,1.06190435e+00
2.04700000e+00,-1.70910607e+00,8.34371745e-01,8.93683826e-01,8.58255468e-01
2.04800000e+00,-1.70861681e+00,8.25525593e-01,8.93609555e-01,6.31729130e-01
2.04900000e+00,-1.70696893e+00,8.50548326e-01,8.92269450e-01,7.72012243e-01
2.05000000e+00,-1.70716473e+00,8.23353700e-01,8.93213735e-01,6.05729932e-01
