Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74555555e+00,7.29674900e-01,9.11152464e-01,4.83667773e-01
2.00500000e+00,-1.74157356e+00,7.52073635e-01,9.08549608e-01,1.03185615e+00
2.01000000e+00,-1.73811777e+00,7.47617768e-01,9.07713426e-01,5.16967752e-01
2.01500000e+00,-1.73434825e+00,7.60487583e-01,9.06004547e-01,4.99165836e-01
2.02000000e+00,-1.73077221e+00,7.68459148e-01,9.04413453e-01,4.67789517e-01
2.02500000e+00,-1.72689235e+00,7.77867192e-01,9.02528049e-01,5.54011129e-01
2.03000000e+00,-1.72304532e+00,7.90143005e-01,9.00735900e-01,5.43735058e-01
2.03500000e+00,-1.71865673e+00,8.01989243e-01,8.98383256e-01,6.13893175e-01
2.04000000e+00,-1.71488597e+00,8.12961831e-01,8.96684082e-01,5.76194322e-01
2.04500000e+00,-1.71097836e+00,8.15991090e-01,8.94869834e-01,5.49553699e-01
2.05000000e+00,-1.70689670e+00,8.33074570e-01,8.92854598e-01,5.82806047e-01
2.05500000e+00,-1.70242338e+00,8.43465757e-01,8.90422067e-01,6.38487464e-01
2.06000000e+00,-1.69821015e+00,8.54918707e-01,8.88327077e-01,6.75663748e-01
2.06500000e+00,-1.69366799e+00,8.75849889e-01,8.85725827e-01,7.62168478e-01
2.07000000e+00,-1.68970587e+00,8.83425498e-01,8.83840041e-01,7.55515401e-01
2.07500000e+00,-1.68507702e+00,9.00133050e-01,8.81275833e-01,8.15016215e-01
2.08000000e+00,-1.68039563e+00,9.17132508e-01,8.78774754e-01,8.17823858e-01
2.08500000e+00,-1.67612173e+00,9.23129206e-01,8.76723557e-01,8.44224324e-01
2.09000000e+00,-1.67152351e+00,9.36092001e-01,8.74043150e-01,9.06267805e-01
2.09500000e+00,-1.66703198e+00,9.51393755e-01,8.71642515e-01,9.50038432e-01
2.10000000e+00,-1.66177047e+00,9.66299371e-01,8.68358732e-01,9.90893574e-01
2.10500000e+00,-1.65690131e+00,9.86209085e-01,8.65581966e-01,1.04922202e+00
2.11000000e+00,-1.65189546e+00,9.99779268e-01,8.62509375e-01,1.14220594e+00
2.11500000e+00,-1.64725700e+00,1.01797327e+00,8.59830550e-01,1.23903145e+00
2.12000000e+00,-1.64207980e+00,1.03813703e+00,8.56231278e-01,1.48069772e+00
2.12500000e+00,-1.63701467e+00,1.04676980e+00,8.53731445e-01,1.28266875e+00
2.13000000e+00,-1.63193670e+00,1.05522847e+00,8.50706267e-01,1.43182399e+00
2.13500000e+00,-1.62622209e+00,1.08751926e+00,8.46859642e-01,1.46425280e+00
2.14000000e+00,-1.62147728e+00,1.09540315e+00,8.44011346e-01,1.52874830e+00
2.14500000e+00,-1.61500582e+00,1.13639383e+00,8.38660323e-01,2.06254883e+00
2.15000000e+00,-1.60948735e+00,1.15627536e+00,8.34947578e-01,2.06763218e+00
2.15500000e+00,-1.60418360e+00,1.15261341e+00,8.32147085e-01,1.94341010e+00
2.16000000e+00,-1.59804457e+00,1.18697171e+00,8.27352964e-01,2.11594878e+00
2.16500000e+00,-1.59230156e+00,1.20965724e+00,8.23117820e-01,2.53605139e+00
2.17000000e+00,-1.58581575e+00,1.23452362e+00,8.17953111e-01,2.59931907e+00
2.17500000e+00,-1.57968862e+00,1.26773919e+00,8.12955035e-01,2.96063351e+00
2.18000000e+00,-1.57311307e+00,1.29859093e+00,8.07639454e-01,3.26565961e+00
2.18500000e+00,-1.56643083e+00,1.32146193e+00,8.01834207e-01,3.71021673e+00
2.19000000e+00,-1.56013332e+00,1.35939280e+00,7.97004368e-01,3.85577237e+00
2.19500000e+00,-1.55295314e+00,1.38897546e+00,7.90523548e-01,4.16197836e+00
2.20000000e+00,-1.54651685e+00,1.42142575e+00,7.84144553e-01,5.04207822e+00
2.20500000e+00,-1.53817459e+00,1.47883645e+00,7.74851574e-01,6.14266484e+00
2.21000000e+00,-1.53258354e+00,1.47113442e+00,7.72079415e-01,5.50831732e+00
2.21500000e+00,-1.52488283e+00,1.51109191e+00,7.63846189e-01,6.54597778e+00
2.22000000e+00,-1.51689954e+00,1.54712471e+00,7.54808713e-01,7.42015612e+00
2.22500000e+00,-1.50911219e+00,1.58828624e+00,7.46053242e-01,8.16479580e+00
2.23000000e+00,-1.50038224e+00,1.65622234e+00,7.35369324e-01,9.56724343e+00
2.23500000e+00,-1.49261583e+00,1.67146491e+00,7.26842861e-01,1.02214056e+01
2.24000000e+00,-1.48324367e+00,1.73996058e+00,7.13443497e-01,1.21323253e+01
2.24500000e+00,-1.47403408e+00,1.79692179e+00,7.00504947e-01,1.36189672e+01
2.25000000e+00,-1.46496923e+00,1.84908496e+00,6.87916190e-01,1.51030663e+01
2.25500000e+00,-1.45590644e+00,1.88160310e+00,6.73793769e-01,1.71616693e+01
2.26000000e+00,-1.44857072e+00,1.87433386e+00,6.66759026e-01,1.66821779e+01
2.26500000e+00,-1.43899898e+00,1.91247304e+00,6.51919154e-01,1.86736589e+01
2.27000000e+00,-1.42813841e+00,1.96878510e+00,6.33807121e-01,2.08814778e+01
2.27500000e+00,-1.41895780e+00,2.00252490e+00,6.18515712e-01,2.30794393e+01
2.28000000e+00,-1.40842369e+00,1.99827304e+00,6.02639822e-01,2.31998155e+01
2.28500000e+00,-1.39825116e+00,2.00716869e+00,5.81507005e-01,2.62754777e+01
2.29000000e+00,-1.39003241e+00,2.04995437e+00,5.67929574e-01,2.77614660e+01
2.29500000e+00,-1.37731220e+00,2.02676904e+00,5.45035567e-01,2.84722844e+01
2.30000000e+00,-1.36838993e+00,2.00614527e+00,5.28971484e-01,2.94535441e+01
2.30500000e+00,-1.35789517e+00,1.96727722e+00,5.09565097e-01,3.00188655e+01
2.31000000e+00,-1.34969007e+00,1.96185859e+00,4.97557320e-01,2.98741500e+01
2.31500000e+00,-1.33899717e+00,1.93331110e+00,4.76458146e-01,3.03422441e+01
2.32000000e+00,-1.32924641e+00,1.87647023e+00,4.57785936e-01,3.07409026e+01
2.32500000e+00,-1.31928152e+00,1.83743199e+00,4.36761908e-01,3.07478277e+01
2.33000000e+00,-1.31134515e+00,1.79354786e+00,4.26269494e-01,3.01204910e+01
2.33500000e+00,-1.30247956e+00,1.75205353e+00,4.09214937e-01,3.01637314e+01
2.34000000e+00,-1.29374238e+00,1.67522073e+00,3.92458502e-01,2.90620238e+01
2.34500000e+00,-1.28227788e+00,1.62277118e+00,3.61591357e-01,2.89298499e+01
2.35000000e+00,-1.27512992e+00,1.58530612e+00,3.53211137e-01,2.80249221e+01
2.35500000e+00,-1.26910583e+00,1.53111434e+00,3.48818175e-01,2.67110684e+01
2.36000000e+00,-1.26179645e+00,1.51547162e+00,3.37533092e-01,2.61682254e+01
2.36500000e+00,-1.25361902e+00,1.45456997e+00,3.22735698e-01,2.50185385e+01
2.37000000e+00,-1.24580211e+00,1.41208750e+00,3.08913862e-01,2.39540178e+01
2.37500000e+00,-1.23971077e+00,1.38218148e+00,3.00737470e-01,2.33337769e+01
2.38000000e+00,-1.23263168e+00,1.33359085e+00,2.89171801e-01,2.22207388e+01
2.38500000e+00,-1.22607752e+00,1.30570703e+00,2.80013549e-01,2.14792502e+01
2.39000000e+00,-1.21992537e+00,1.26996986e+00,2.71511057e-01,2.06842078e+01
2.39500000e+00,-1.21253406e+00,1.21436928e+00,2.59413035e-01,1.91534612e+01
2.40000000e+00,-1.20806309e+00,1.21078242e+00,2.57755736e-01,1.89120632e+01
2.40500000e+00,-1.20179199e+00,1.17720597e+00,2.47671424e-01,1.80878604e+01
2.41000000e+00,-1.19560810e+00,1.15818298e+00,2.41598122e-01,1.74927052e+01
2.41500000e+00,-1.18975270e+00,1.12675513e+00,2.32024010e-01,1.62286090e+01
2.42000000e+00,-1.18415227e+00,1.09613056e+00,2.27043698e-01,1.56626013e+01
2.42500000e+00,-1.17894054e+00,1.08779114e+00,2.19587711e-01,1.52077797e+01
2.43000000e+00,-1.17355159e+00,1.06522411e+00,2.16889681e-01,1.45275123e+01
2.43500000e+00,-1.16826429e+00,1.04726467e+00,2.09759992e-01,1.38628598e+01
2.44000000e+00,-1.16262407e+00,1.02055679e+00,2.01435970e-01,1.30961147e+01
2.44500000e+00,-1.15756897e+00,1.01048384e+00,2.00415256e-01,1.28689896e+01
2.45000000e+00,-1.15266972e+00,1.00048870e+00,1.95528260e-01,1.24012742e+01
2.45500000e+00,-1.14798116e+00,9.89311509e-01,1.92400386e-01,1.20157409e+01
2.46000000e+00,-1.14288473e+00,9.66129372e-01,1.88275843e-01,1.13930390e+01
2.46500000e+00,-1.13832582e+00,9.55482943e-01,1.84095357e-01,1.11921009e+01
2.47000000e+00,-1.13339777e+00,9.42843131e-01,1.79507442e-01,1.06748825e+01
2.47500000e+00,-1.12894079e+00,9.33176417e-01,1.76469688e-01,1.04693099e+01
2.48000000e+00,-1.12438477e+00,9.13604239e-01,1.71658111e-01,9.89058850e+00
2.48500000e+00,-1.11991345e+00,9.04178284e-01,1.69518806e-01,9.62414361e+00
2.49000000e+00,-1.11546917e+00,8.93930158e-01,1.67078288e-01,9.32128361e+00
2.49500000e+00,-1.11078199e+00,8.76760982e-01,1.61288021e-01,8.83807526e+00
2.50000000e+00,-1.10613990e+00,8.69591291e-01,1.60413622e-01,8.57509526e+00
2.50500000e+00,-1.10210882e+00,8.57499656e-01,1.57052302e-01,8.25318879e+00
2.51000000e+00,-1.09779891e+00,8.52161920e-01,1.55202093e-01,8.11861554e+00
2.51500000e+00,-1.09349801e+00,8.39044648e-01,1.52602166e-01,7.84335634e+00
2.52000000e+00,-1.08940685e+00,8.26344993e-01,1.49905402e-01,7.51006664e+00
2.52500000e+00,-1.08516798e+00,8.22799580e-01,1.47150341e-01,7.27464995e+00
2.53000000e+00,-1.08152771e+00,8.10886814e-01,1.45852147e-01,7.16253035e+00
2.53500000e+00,-1.07665471e+00,8.02661639e-01,1.42092730e-01,6.84559469e+00
2.54000000e+00,-1.07340510e+00,8.00614637e-01,1.41611003e-01,6.77666436e+00
2.54500000e+00,-1.06902585e+00,7.88225648e-01,1.38567583e-01,6.49566326e+00
2.55000000e+00,-1.06538275e+00,7.76900152e-01,1.36679038e-01,6.30086199e+00
2.55500000e+00,-1.06139984e+00,7.72173907e-01,1.34898831e-01,6.14196370e+00
2.56000000e+00,-1.05775603e+00,7.62918077e-01,1.33627538e-01,6.02121203e+00
2.56500000e+00,-1.05353079e+00,7.54525295e-01,1.29890393e-01,5.66763430e+00
2.57000000e+00,-1.05002890e+00,7.46102375e-01,1.30041237e-01,5.71431933e+00
2.57500000e+00,-1.04621275e+00,7.37085776e-01,1.28070429e-01,5.52386216e+00
2.58000000e+00,-1.04257472e+00,7.33382827e-01,1.26490343e-01,5.41130149e+00
2.58500000e+00,-1.03931995e+00,7.22232003e-01,1.25196574e-01,5.25160766e+00
2.59000000e+00,-1.03573099e+00,7.19436455e-01,1.23326168e-01,5.10006201e+00
2.59500000e+00,-1.03189405e+00,7.13893491e-01,1.22412745e-01,5.06988824e+00
2.60000000e+00,-1.02830737e+00,7.05930833e-01,1.20618574e-01,4.90734445e+00
