Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74509654e+00,8.09297678e-01,9.09838125e-01,2.75894647e+00
2.00500000e+00,-1.74101497e+00,8.54163679e-01,9.07369745e-01,4.07675144e+00
2.01000000e+00,-1.73816340e+00,8.06593474e-01,9.07280202e-01,1.37724251e+00
2.01500000e+00,-1.73089783e+00,1.27887886e+00,8.82151134e-01,5.27407329e+01
2.02000000e+00,-1.72822199e+00,1.11697728e+00,8.88562604e-01,3.67198157e+01
2.02500000e+00,-1.72676086e+00,8.47683448e-01,9.01389482e-01,2.62894185e+00
2.03000000e+00,-1.72163119e+00,9.95246957e-01,8.92702320e-01,1.79737393e+01
2.03500000e+00,-1.71834621e+00,8.80743928e-01,8.97579203e-01,2.38164354e+00
2.04000000e+00,-1.71408176e+00,9.78635039e-01,8.90726402e-01,1.27381771e+01
2.04500000e+00,-1.71017412e+00,9.21740691e-01,8.92208226e-01,5.52444394e+00
2.05000000e+00,-1.70605233e+00,9.09709021e-01,8.90283699e-01,4.85356976e+00
2.05500000e+00,-1.70221951e+00,9.26459162e-01,8.88765211e-01,3.48874681e+00
2.06000000e+00,-1.69631472e+00,1.13228108e+00,8.74386151e-01,3.12836631e+01
2.06500000e+00,-1.69347405e+00,9.60643834e-01,8.84717117e-01,3.53817426e+00
2.07000000e+00,-1.68913583e+00,9.93838065e-01,8.81446221e-01,4.88454589e+00
2.07500000e+00,-1.68508332e+00,9.51126469e-01,8.80918116e-01,2.22938948e+00
2.08000000e+00,-1.67981934e+00,9.88550767e-01,8.77105481e-01,3.49960514e+00
2.08500000e+00,-1.67578706e+00,1.07051493e+00,8.73651884e-01,7.02468826e+00
2.09000000e+00,-1.67093495e+00,1.01512064e+00,8.71747323e-01,4.88243644e+00
2.09500000e+00,-1.66542659e+00,1.06608944e+00,8.66916339e-01,8.09052673e+00
2.10000000e+00,-1.66093383e+00,1.12657444e+00,8.60632832e-01,1.78096312e+01
2.10500000e+00,-1.65718348e+00,1.02334710e+00,8.65136523e-01,2.35270985e+00
2.11000000e+00,-1.65127857e+00,1.09545477e+00,8.60014345e-01,6.18734383e+00
2.11500000e+00,-1.64680439e+00,1.10925411e+00,8.56949375e-01,6.20768122e+00
2.12000000e+00,-1.64234311e+00,1.08672435e+00,8.55862687e-01,4.04225943e+00
2.12500000e+00,-1.63666651e+00,1.08308293e+00,8.53382896e-01,1.79959013e+00
