Temperature, Emean, Cv, Mabsmean, X
2.00000000e+00,-1.74538561e+00,7.30078483e-01,9.11092496e-01,4.97664803e-01
2.00500000e+00,-1.74148373e+00,7.51805889e-01,9.09318570e-01,5.34622545e-01
2.01000000e+00,-1.73829644e+00,7.60436417e-01,9.07535766e-01,1.47850579e+00
2.01500000e+00,-1.73398842e+00,7.95191593e-01,9.03896883e-01,5.55415171e+00
2.02000000e+00,-1.73025889e+00,7.79048855e-01,9.04151362e-01,5.50866481e-01
2.02500000e+00,-1.72700262e+00,7.83016595e-01,9.02637652e-01,6.57849013e-01
2.03000000e+00,-1.72264652e+00,8.09497543e-01,8.99212127e-01,4.14691788e+00
2.03500000e+00,-1.71860154e+00,8.07870176e-01,8.98590371e-01,6.99257087e-01
2.04000000e+00,-1.71494286e+00,8.27824026e-01,8.96106342e-01,2.10984823e+00
2.04500000e+00,-1.71065957e+00,8.21708532e-01,8.94425013e-01,1.06437844e+00
2.05000000e+00,-1.70654733e+00,8.35664421e-01,8.92444977e-01,1.36439037e+00
2.05500000e+00,-1.70260853e+00,8.51178022e-01,8.90485728e-01,7.12952095e-01
2.06000000e+00,-1.69805473e+00,8.61464019e-01,8.87902115e-01,1.30748156e+00
2.06500000e+00,-1.69373432e+00,8.70009096e-01,8.85890143e-01,1.36573153e+00
2.07000000e+00,-1.68954400e+00,9.02118953e-01,8.83372257e-01,1.18841069e+00
2.07500000e+00,-1.68524713e+00,8.84588782e-01,8.81618449e-01,1.01501580e+00
2.08000000e+00,-1.68019864e+00,9.15595814e-01,8.78684753e-01,9.34293048e-01
2.08500000e+00,-1.67623178e+00,9.44812331e-01,8.76313527e-01,9.99954444e-01
2.09000000e+00,-1.67138809e+00,9.39000885e-01,8.73739669e-01,1.53272625e+00
2.09500000e+00,-1.66612290e+00,9.67383815e-01,8.70797625e-01,9.98562321e-01
2.10000000e+00,-1.66202537e+00,9.79755454e-01,8.68086239e-01,1.61230291e+00
2.10500000e+00,-1.65730068e+00,9.85981302e-01,8.65615287e-01,1.51642741e+00
2.11000000e+00,-1.65176387e+00,1.00089857e+00,8.62686635e-01,1.28463100e+00
2.11500000e+00,-1.64735940e+00,1.01800114e+00,8.59688548e-01,1.24248140e+00
2.12000000e+00,-1.64253615e+00,1.02909844e+00,8.57035706e-01,2.16482125e+00
2.12500000e+00,-1.63653516e+00,1.06537744e+00,8.52779447e-01,3.15998146e+00
2.13000000e+00,-1.63159715e+00,1.07161298e+00,8.49735273e-01,1.91308022e+00
2.13500000e+00,-1.62690299e+00,1.07450989e+00,8.47685262e-01,1.54361919e+00
2.14000000e+00,-1.62041731e+00,1.11345107e+00,8.42275895e-01,3.04747786e+00
2.14500000e+00,-1.61587591e+00,1.11963548e+00,8.39703706e-01,2.57035954e+00
