Temperature,Emean,Cv,Mabsmean,X
1.00000000e+00,-2.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00
2.00000000e+00,-2.00000000e+00,-2.00000000e+02,1.00000000e+00,-1.00000000e+02
3.00000000e+00,-2.00000000e+00,-1.18518519e+02,1.00000000e+00,-8.88888889e+01
4.00000000e+00,-2.00000000e+00,-7.50000000e+01,1.00000000e+00,-7.50000000e+01
5.00000000e+00,-2.00000000e+00,-5.12000000e+01,1.00000000e+00,-6.40000000e+01
6.00000000e+00,-2.00000000e+00,-3.70370370e+01,1.00000000e+00,-5.55555556e+01
7.00000000e+00,-1.99714286e+00,-2.79879384e+01,9.99285714e-01,-4.89794169e+01
8.00000000e+00,-1.99250000e+00,-2.18116016e+01,9.98125000e-01,-4.36870508e+01
9.00000000e+00,-1.99111111e+00,-1.74267825e+01,9.97777778e-01,-3.93581207e+01
1.00000000e+01,-1.99200000e+00,-1.42722560e+01,9.98000000e-01,-3.58401600e+01
1.10000000e+01,-1.99272727e+00,-1.19250434e+01,9.98181818e-01,-3.29257400e+01
1.20000000e+01,-1.99333333e+00,-1.01112346e+01,9.98333333e-01,-3.04445370e+01
1.30000000e+01,-1.99384615e+00,-8.68101817e+00,9.98461538e-01,-2.83077651e+01
1.40000000e+01,-1.99428571e+00,-7.53359434e+00,9.98571429e-01,-2.64490379e+01
1.50000000e+01,-1.99466667e+00,-6.59916168e+00,9.98666667e-01,-2.48178252e+01
1.60000000e+01,-1.99500000e+00,-5.82816406e+00,9.98750000e-01,-2.33750391e+01
1.70000000e+01,-1.99529412e+00,-5.18464290e+00,9.98823529e-01,-2.20899980e+01
1.80000000e+01,-1.99555556e+00,-4.64199970e+00,9.98888889e-01,-2.09382990e+01
1.90000000e+01,-1.99578947e+00,-4.18022084e+00,9.98947368e-01,-1.99003003e+01
2.00000000e+01,-1.99600000e+00,-3.78401600e+00,9.99000000e-01,-1.89600200e+01
2.10000000e+01,-1.99619048e+00,-3.44154216e+00,9.99047619e-01,-1.81043257e+01
2.20000000e+01,-1.99545455e+00,-3.14350318e+00,9.98863636e-01,-1.73223169e+01
2.30000000e+01,-1.99478261e+00,-2.87992853e+00,9.98695652e-01,-1.65973642e+01
2.40000000e+01,-1.99500000e+00,-2.64816551e+00,9.98750000e-01,-1.59305816e+01
2.50000000e+01,-1.99520000e+00,-2.44532675e+00,9.98800000e-01,-1.53216230e+01
2.60000000e+01,-1.99538462e+00,-2.26491930e+00,9.98846154e-01,-1.47574169e+01
2.70000000e+01,-1.99555556e+00,-2.10375519e+00,9.98888889e-01,-1.42332144e+01
2.80000000e+01,-1.99500000e+00,-1.95918914e+00,9.98750000e-01,-1.37449075e+01
2.90000000e+01,-1.99517241e+00,-1.82772030e+00,9.98793103e-01,-1.32842056e+01
3.00000000e+01,-1.99533333e+00,-1.71023190e+00,9.98833333e-01,-1.28577959e+01
3.10000000e+01,-1.99548387e+00,-1.60371431e+00,9.98870968e-01,-1.24578728e+01
3.20000000e+01,-1.99562500e+00,-1.50684341e+00,9.98906250e-01,-1.20820462e+01
3.30000000e+01,-1.99575758e+00,-1.41848895e+00,9.98939394e-01,-1.17282046e+01
3.40000000e+01,-1.99588235e+00,-1.33768142e+00,9.98970588e-01,-1.13944761e+01
3.50000000e+01,-1.99542857e+00,-1.26358327e+00,9.98857143e-01,-1.10791904e+01
3.60000000e+01,-1.99555556e+00,-1.19479348e+00,9.98888889e-01,-1.07777915e+01
3.70000000e+01,-1.99567568e+00,-1.13210031e+00,9.98918919e-01,-1.04952646e+01
3.80000000e+01,-1.99578947e+00,-1.07421398e+00,9.98947368e-01,-1.02271585e+01
3.90000000e+01,-1.99589744e+00,-1.02065548e+00,9.98974359e-01,-9.97239738e+00
4.00000000e+01,-1.99600000e+00,-9.71004000e-01,9.99000000e-01,-9.73001000e+00
4.10000000e+01,-1.99609756e+00,-9.24888637e-01,9.99024390e-01,-9.49911696e+00
4.20000000e+01,-1.99619048e+00,-8.81981479e-01,9.99047619e-01,-9.27892020e+00
4.30000000e+01,-1.99581395e+00,-8.41990534e-01,9.98953488e-01,-9.06869056e+00
4.40000000e+01,-1.99500000e+00,-8.04280147e-01,9.98750000e-01,-8.86569602e+00
4.50000000e+01,-1.99466667e+00,-7.68706195e-01,9.98666667e-01,-8.66964049e+00
4.60000000e+01,-1.99391304e+00,-7.35761093e-01,9.98478261e-01,-8.48393318e+00
4.70000000e+01,-1.99319149e+00,-7.04585992e-01,9.98297872e-01,-8.30421660e+00
4.80000000e+01,-1.99333333e+00,-6.75354938e-01,9.98333333e-01,-8.13196759e+00
4.90000000e+01,-1.99346939e+00,-6.48444406e-01,9.98367347e-01,-7.97003425e+00
5.00000000e+01,-1.99360000e+00,-6.23110554e-01,9.98400000e-01,-7.81442048e+00
5.10000000e+01,-1.99372549e+00,-5.99232596e-01,9.98431373e-01,-7.66476363e+00
5.20000000e+01,-1.99384615e+00,-5.76701096e-01,9.98461538e-01,-7.52072827e+00
5.30000000e+01,-1.99396226e+00,-5.55416705e-01,9.98490566e-01,-7.38200367e+00
5.40000000e+01,-1.99407407e+00,-5.35289073e-01,9.98518519e-01,-7.24830158e+00
5.50000000e+01,-1.99418182e+00,-5.16235881e-01,9.98545455e-01,-7.11935423e+00
5.60000000e+01,-1.99428571e+00,-4.98182007e-01,9.98571429e-01,-6.99491254e+00
5.70000000e+01,-1.99438596e+00,-4.81058780e-01,9.98596491e-01,-6.87474451e+00
5.80000000e+01,-1.99448276e+00,-4.64803324e-01,9.98620690e-01,-6.75863381e+00
5.90000000e+01,-1.99423729e+00,-4.49357645e-01,9.98559322e-01,-6.64637719e+00
6.00000000e+01,-1.99433333e+00,-4.34522086e-01,9.98583333e-01,-6.53668005e+00
6.10000000e+01,-1.99442623e+00,-4.20549553e-01,9.98606557e-01,-6.43161714e+00
6.20000000e+01,-1.99451613e+00,-4.07240214e-01,9.98629032e-01,-6.32987685e+00
6.30000000e+01,-1.99460317e+00,-3.94552760e-01,9.98650794e-01,-6.23130407e+00
6.40000000e+01,-1.99468750e+00,-3.82449045e-01,9.98671875e-01,-6.13575321e+00
6.50000000e+01,-1.99476923e+00,-3.70893806e-01,9.98692308e-01,-6.04308745e+00
6.60000000e+01,-1.99484848e+00,-3.59854400e-01,9.98712121e-01,-5.95317810e+00
6.70000000e+01,-1.99492537e+00,-3.49300579e-01,9.98731343e-01,-5.86590402e+00
6.80000000e+01,-1.99500000e+00,-3.39204279e-01,9.98750000e-01,-5.78115106e+00
6.90000000e+01,-1.99507246e+00,-3.29539435e-01,9.98768116e-01,-5.69881157e+00
7.00000000e+01,-1.99514286e+00,-3.20281809e-01,9.98785714e-01,-5.61878394e+00
7.10000000e+01,-1.99521127e+00,-3.11408845e-01,9.98802817e-01,-5.54097217e+00
7.20000000e+01,-1.99527778e+00,-3.02899526e-01,9.98819444e-01,-5.46528552e+00
7.30000000e+01,-1.99534247e+00,-2.94734249e-01,9.98835616e-01,-5.39163813e+00
7.40000000e+01,-1.99540541e+00,-2.86894717e-01,9.98851351e-01,-5.31994870e+00
7.50000000e+01,-1.99546667e+00,-2.79363832e-01,9.98866667e-01,-5.25014018e+00
7.60000000e+01,-1.99552632e+00,-2.72125602e-01,9.98881579e-01,-5.18213955e+00
7.70000000e+01,-1.99558442e+00,-2.65165060e-01,9.98896104e-01,-5.11587747e+00
7.80000000e+01,-1.99564103e+00,-2.58468182e-01,9.98910256e-01,-5.05128814e+00
7.90000000e+01,-1.99569620e+00,-2.52021818e-01,9.98924051e-01,-4.98830902e+00
8.00000000e+01,-1.99550000e+00,-2.45813453e-01,9.98875000e-01,-4.92687977e+00
8.10000000e+01,-1.99555556e+00,-2.39771941e-01,9.98888889e-01,-4.86633745e+00
8.20000000e+01,-1.99560976e+00,-2.34008198e-01,9.98902439e-01,-4.80785835e+00
8.30000000e+01,-1.99566265e+00,-2.28449798e-01,9.98915663e-01,-4.75076775e+00
8.40000000e+01,-1.99571429e+00,-2.23087101e-01,9.98928571e-01,-4.69501680e+00
8.50000000e+01,-1.99576471e+00,-2.17911028e-01,9.98941176e-01,-4.64055891e+00
8.60000000e+01,-1.99581395e+00,-2.12913018e-01,9.98953488e-01,-4.58734960e+00
8.70000000e+01,-1.99586207e+00,-2.08084999e-01,9.98965517e-01,-4.53534644e+00
8.80000000e+01,-1.99590909e+00,-2.03419347e-01,9.98977273e-01,-4.48450889e+00
8.90000000e+01,-1.99595506e+00,-1.98908863e-01,9.98988764e-01,-4.43479818e+00
9.00000000e+01,-1.99600000e+00,-1.94546743e-01,9.99000000e-01,-4.38617728e+00
9.10000000e+01,-1.99604396e+00,-1.90326551e-01,9.99010989e-01,-4.33861075e+00
9.20000000e+01,-1.99608696e+00,-1.86242196e-01,9.99021739e-01,-4.29206465e+00
9.30000000e+01,-1.99612903e+00,-1.82287911e-01,9.99032258e-01,-4.24650651e+00
9.40000000e+01,-1.99617021e+00,-1.78458231e-01,9.99042553e-01,-4.20190521e+00
9.50000000e+01,-1.99621053e+00,-1.74747976e-01,9.99052632e-01,-4.15823093e+00
9.60000000e+01,-1.99625000e+00,-1.71152231e-01,9.99062500e-01,-4.11545505e+00
9.70000000e+01,-1.99628866e+00,-1.67666332e-01,9.99072165e-01,-4.07355015e+00
9.80000000e+01,-1.99632653e+00,-1.64285851e-01,9.99081633e-01,-4.03248991e+00
9.90000000e+01,-1.99636364e+00,-1.61006580e-01,9.99090909e-01,-3.99224903e+00
1.00000000e+02,-1.99640000e+00,-1.57824518e-01,9.99100000e-01,-3.95280324e+00
1.01000000e+02,-1.99643564e+00,-1.54735862e-01,9.99108911e-01,-3.91412921e+00
1.02000000e+02,-1.99647059e+00,-1.51736991e-01,9.99117647e-01,-3.87620451e+00
1.03000000e+02,-1.99650485e+00,-1.48824458e-01,9.99126214e-01,-3.83900758e+00
1.04000000e+02,-1.99615385e+00,-1.45994516e-01,9.99038462e-01,-3.80251465e+00
1.05000000e+02,-1.99580952e+00,-1.43189805e-01,9.98952381e-01,-3.76598695e+00
1.06000000e+02,-1.99547170e+00,-1.40465140e-01,9.98867925e-01,-3.73015436e+00
1.07000000e+02,-1.99523364e+00,-1.37817703e-01,9.98785047e-01,-3.69499722e+00
1.08000000e+02,-1.99500000e+00,-1.35256884e-01,9.98703704e-01,-3.66049662e+00
1.09000000e+02,-1.99504587e+00,-1.32766965e-01,9.98715596e-01,-3.62663681e+00
1.10000000e+02,-1.99509091e+00,-1.30380962e-01,9.98727273e-01,-3.59405548e+00
1.11000000e+02,-1.99513514e+00,-1.28058702e-01,9.98738739e-01,-3.56205427e+00
1.12000000e+02,-1.99517857e+00,-1.25797935e-01,9.98750000e-01,-3.53061783e+00
1.13000000e+02,-1.99522124e+00,-1.23596509e-01,9.98761062e-01,-3.49973133e+00
1.14000000e+02,-1.99526316e+00,-1.21452365e-01,9.98771930e-01,-3.46938048e+00
1.15000000e+02,-1.99530435e+00,-1.19363534e-01,9.98782609e-01,-3.43955147e+00
1.16000000e+02,-1.99534483e+00,-1.17328128e-01,9.98793103e-01,-3.41023094e+00
