Temperature,Emean,Cv,Mabsmean,X
1.00000000e+00,-7.30000000e-01,0.00000000e+00,8.50000000e-02,0.00000000e+00
2.00000000e+00,-8.90000000e-01,-2.40850000e+01,1.07500000e-01,-6.21250000e-01
3.00000000e+00,-1.01666667e+00,-2.20434568e+01,1.45000000e-01,-6.52222222e-01
4.00000000e+00,-1.11000000e+00,-1.87268750e+01,1.60000000e-01,-1.50937500e+00
5.00000000e+00,-1.18600000e+00,-1.54012160e+01,1.65000000e-01,-1.63040000e+00
6.00000000e+00,-1.24500000e+00,-1.28306481e+01,1.60833333e-01,-1.50671296e+00
7.00000000e+00,-1.29000000e+00,-1.07464723e+01,1.62142857e-01,-1.26638484e+00
8.00000000e+00,-1.32500000e+00,-9.04695312e+00,1.59375000e-01,-1.14751953e+00
9.00000000e+00,-1.35888889e+00,-7.66107606e+00,1.62777778e-01,-9.99355281e-01
1.00000000e+01,-1.38800000e+00,-6.61717600e+00,1.66500000e-01,-9.48890000e-01
1.10000000e+01,-1.41545455e+00,-5.76484666e+00,1.71818182e-01,-9.06153268e-01
1.20000000e+01,-1.43833333e+00,-5.08554012e+00,1.77500000e-01,-8.90208333e-01
1.30000000e+01,-1.45846154e+00,-4.50840797e+00,1.82692308e-01,-8.84897588e-01
1.40000000e+01,-1.47428571e+00,-4.02432320e+00,1.90000000e-01,-8.65663265e-01
1.50000000e+01,-1.48933333e+00,-3.60079486e+00,1.97666667e-01,-8.76545185e-01
1.60000000e+01,-1.50250000e+00,-3.24512695e+00,2.04687500e-01,-8.97268066e-01
1.70000000e+01,-1.51352941e+00,-2.93808360e+00,2.12058824e-01,-9.07366171e-01
1.80000000e+01,-1.52388889e+00,-2.66874295e+00,2.19166667e-01,-9.24706790e-01
1.90000000e+01,-1.53421053e+00,-2.43556418e+00,2.28421053e-01,-9.25564951e-01
2.00000000e+01,-1.54450000e+00,-2.23410025e+00,2.38750000e-01,-9.50806250e-01
2.10000000e+01,-1.55428571e+00,-2.05893038e+00,2.52142857e-01,-9.65711046e-01
2.20000000e+01,-1.56318182e+00,-1.90440732e+00,2.63636364e-01,-1.05294703e+00
2.30000000e+01,-1.57043478e+00,-1.76645695e+00,2.73260870e-01,-1.12077094e+00
2.40000000e+01,-1.57750000e+00,-1.64052517e+00,2.83125000e-01,-1.15537109e+00
2.50000000e+01,-1.58440000e+00,-1.52820695e+00,2.92800000e-01,-1.19530944e+00
2.60000000e+01,-1.59115385e+00,-1.42759296e+00,3.01538462e-01,-1.23885298e+00
2.70000000e+01,-1.59777778e+00,-1.33709766e+00,3.10185185e-01,-1.26835442e+00
2.80000000e+01,-1.60428571e+00,-1.25539567e+00,3.19642857e-01,-1.29090743e+00
2.90000000e+01,-1.61068966e+00,-1.18137216e+00,3.28620690e-01,-1.32953873e+00
3.00000000e+01,-1.61633333e+00,-1.11418672e+00,3.37666667e-01,-1.36025037e+00
